Name,52 Library Visits in 52 Weeks
Description,"A year-long, joy-first library adventure that turns libraries into places for discovery, creativity, useful life skills, and little weekly quests worth talking about."
Publisher,Chief Clanker for Lesson Hollow
Grade Level,Any
Link,https://lessonhollow.com

Title,Description,Action,URL
Check out a book about disasters or survival,"Find a book about shipwrecks, avalanches, lost explorers, volcano eruptions, or people who made it out of impossible situations. The worse things get on the page, the harder it is to stop reading.",Do,
Check out a mystery book,"Find a mystery that feels deliciously hard to put down. Read the back, make one prediction, and see if the first chapter makes you want to chase clues.",Do,
Check out a fantasy book,"Choose a fantasy book with a world you want to step into. Look for magic, maps, dragons, castles, strange creatures, or a hero with a huge problem.",Do,
Check out a science fiction book,"Pick a science fiction book that promises a future, a spaceship, a robot, another planet, or a strange new invention. Let your brain wander a little farther than usual.",Do,
Check out a funny book,Find a book that looks like it might actually make you laugh out loud. Bonus points if you snort in the middle of the library and have to pretend everything is normal.,Do,
Check out a graphic novel,Choose a graphic novel and pay attention to how the pictures help tell the story. Notice one page where the art makes the moment hit harder.,Do,
Check out a biography,"Find a biography about someone you have heard of or someone completely new to you. Look for a life that feels adventurous, stubborn, surprising, or inspiring.",Do,
Check out a poetry book,"Pick a poetry collection and read until you find a poem that sounds fun, weird, beautiful, or true. Read it twice and see what changes the second time.",Do,
Check out a cookbook,"Choose a cookbook that makes you hungry to learn, not just hungry for snacks. Mark one recipe you would actually want to try with help or on your own.",Do,
Check out a how-to book,"Find a how-to book about something practical or delightfully random. Learn one step, trick, or process that makes you feel more capable than you did ten minutes ago.",Do,
Check out an art book,"Pick an art book full of paintings, design, drawing, fashion, sculpture, or architecture. Find one page you would happily stare at much longer than necessary.",Do,
Check out a history book,"Find a history book on a time period, event, or person that feels alive and dramatic, not dusty and dead. Look for one moment that changed everything.",Do,
Check out a nature book,"Choose a book about animals, weather, forests, oceans, insects, birds, rocks, or ecosystems. Let yourself get interested in something wonderfully specific.",Do,
Check out a sports book,"Find a book about a sport, athlete, team, or big sports moment. See if the story of training, competition, or teamwork pulls you in.",Do,
Check out a music book,"Choose a book about music, instruments, composers, singers, bands, or sound. See what it teaches you about how music gets made or why people love it.",Do,
Check out a language book,"Find a book that helps you explore another language, even if it is just basic words and phrases. Learn a few expressions that make you want to keep going.",Do,
Check out a travel book,"Choose a travel or world culture book and explore a place you have never been. Look for foods, traditions, landscapes, and daily life that make the place feel real.",Do,
Check out a mythology book,"Find myths, legends, folktales, or epic stories from any culture. Pick one story that feels dramatic enough to retell at dinner.",Do,
Check out a craft book,"Pick a book full of crafts, sewing, paper art, jewelry, woodworking, or creative projects. Find one project that looks fun enough to actually try.",Do,
Check out a puzzle or brain teaser book,"Find a book of puzzles, logic challenges, riddles, or math games. Try at least one challenge and see whether it feels satisfying, evil, or both.",Do,
Check out a movie,"Use the library to borrow a movie you have never seen before. Pick something that looks interesting, thoughtful, funny, classic, or just gloriously odd.",Watch,
Check out a documentary,"Borrow a documentary about science, art, nature, history, music, food, sports, or culture. Let the library turn movie night into a tiny expedition.",Watch,
Try a library computer,"Use a public computer for something purposeful or interesting. Search for a topic you are curious about, explore a database, or practice a digital skill.",Do,
Find a book about food from a culture you have never eaten,"Pick a book about a cuisine that is completely new to you. Look for the stories behind the dishes, not just the recipes. Food is one of the fastest ways to understand how other people live.",Do,
Ask a librarian for a recommendation,Walk up and ask for a recommendation based on your mood or interests. Tell them what you usually like and let them surprise you.,Do,
Visit a library you have never been to,"Go to a library branch you have never visited before and take in the vibe. Notice what feels different, exciting, cozy, huge, quiet, or unexpectedly fun.",Do,
Find a book that teaches you a card game or magic trick,"Pick up a book on card games, card magic, or sleight of hand. Learn one trick or one game well enough to show someone else. Walking out of the library with a new party skill is hard to beat.",Do,
Visit a tiny neighborhood library,"Find a Little Free Library or mini neighborhood book box. Take a look, bring a book to trade if you can, and notice what kinds of stories your neighbors share.",Do,
Trade books with a mini neighborhood library,Pick one book to leave and one book to take from a tiny neighborhood library. Think of it as a little literary trade route with your local humans.,Do,
Find the oldest book in the building,Hunt through the shelves for the most ancient copyright date you can find. Check the first few pages of old books and see how far back your library goes.,Do,
Find the newest books shelf,"Look for the new arrivals shelf and see what just came in. New books have a kind of hopeful energy, like they are waiting to become someone’s latest obsession.",Do,
Find the weirdest title in the building,"Roam the shelves until you find the strangest, funniest, or most unexpected title you can. Take a photo or write it down so you can remember the winner.",Do,
Find a book connected to your favorite hobby,Choose a hobby you already love and find a book that makes you better at it or deeper in it. Let the library become your secret sidekick.,Do,
Find a book about a skill you want,"Pick a skill you wish you had, from drawing to coding to baking to photography to fixing a bike. Grab a book that makes the skill feel reachable.",Do,
Find a book and read the first page in the library,"Before checking it out, sit down somewhere and read the first page right there. Trust your curiosity more than the cover for once.",Read,
Find a cozy reading corner,"Use this visit to hunt for the best reading spot in the library. A good chair, a quiet corner, and the right light can make a book feel twice as good.",Do,
Find a book from a country you know little about,Choose a book by an author from a country you do not know much about. Let the story widen your map of the world.,Do,
Check out a book about space or the ocean floor,"Pick a book about one of the two frontiers humans still barely understand. Whether it is deep sea creatures or distant galaxies, let yourself get pulled into something enormous.",Do,
Borrow an audiobook,"Check out an audiobook and listen while walking, drawing, cleaning, riding, or relaxing. See how the story feels different when it arrives through your ears.",Listen,
Explore the library event board,"Find the events board, calendar, or flyer rack and see what your library offers besides books. Look for clubs, classes, workshops, performances, or community events.",Do,
Attend a library event,"Go to one library event, even if it feels a little random. The mission is not perfection, it is to let the library become a place where things happen.",Do,
Find a book you would want to recommend,"Choose a book that feels like something you would genuinely hand to a friend, sibling, parent, or future self. Think about what makes it recommendable.",Do,
Build a stack around one theme,"Pick a theme like oceans, castles, inventors, cooking, birds, mysteries, or Japan and build a small stack around it. This is your pop-up personal curriculum for the week.",Do,
Compare fiction and nonfiction on the same topic,Pick one topic and find both a fiction book and a nonfiction book connected to it. Notice how each one teaches you something different.,Do,
Find a book someone left a note in,"Flip through used copies looking for margin scribbles, underlined passages, old bookmarks, or handwritten inscriptions. Every mark is a tiny ghost of a previous reader.",Do,
Check out a book in a format you have never tried,"Try large print, an ebook, a Playaway, microfilm, or whatever odd format your library stocks. See how the same kind of story feels completely different when it arrives in a new shape.",Do,
Borrow something besides a book,"See if your library lends games, puzzles, tools, museum passes, instruments, baking pans, telescopes, or other odd treasures. Borrow something unexpected if you can.",Do,
Find a book that teaches you to make something,"Pick a book that helps you create something real, like a recipe, a drawing, a sewing project, a science experiment, a comic, or a game.",Do,
Find a book that changes your mind about a topic,Choose a topic you think you already understand and read something that complicates it. Libraries are excellent places to discover you were only partly right.,Do,
Make a librarian smile with a great question,"Ask a thoughtful, curious, or delightfully specific question that could only happen in a library. Make the whole visit feel a little more alive.",Do,
Borrow a comfort reread or old favorite,"Choose a book, movie, or series that feels like comfort food for your brain. Libraries are not only for new adventures, they are also for beloved returns.",Read,
Create a mini display at home from your library haul,"Bring home your borrowed stack and arrange it somewhere visible. Make it look inviting, important, or fun so the week’s curiosity has a home base.",Do,
End the year with your top 5 library finds,"Look back on the whole 52-week adventure and choose your top 5 finds, moments, books, movies, surprises, or library discoveries. Celebrate the fact that you built a year of learning one visit at a time.",Do,
